record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,error_message,preprocessing_used
S-0093,survey,data/input_images/surveys/survey_093_S-0093.jpg,2026-04-29,재무팀,,"만족도:3, 편의성:2, 속도:3",이미지 업로드 편리,0.9536,,True
S-0016,survey,data/input_images/surveys/survey_016_S-0016.jpg,2026-04-07,데이터팀,,"만족도:2, 편의성:3, 속도:5",입력 절차가 간단함,0.9465,,True
S-0005,survey,data/input_images/surveys/survey_005_S-0005.jpg,2026-05-19,운영팀,,"만족도:3, 편의성:5, 속도:5",속도 개선 필요,0.9281,,True
R-0012,receipt,data/input_images/receipts/receipt_012_R-0012.jpg,2026-03-17,디지털스캔샵,147950,,운영비 처리,0.9731,,True
S-0051,survey,data/input_images/surveys/survey_051_S-0051.jpg,2026-06-01,교육팀,,"만족도:5, 편의성:4, 속도:1",이미지 업로드 편리,0.953,,True
S-0003,survey,data/input_images/surveys/survey_003_S-0003.jpg,2026-03-20,마케팅팀,,"만족도:5, 편의성:2, 속도:4",모바일 화면 개선,0.9218,,True
R-0019,receipt,data/input_images/receipts/receipt_019_R-0019.jpg,2026-05-15,테크문구,38500,,팀 회의 사용,0.9396,,True
S-0028,survey,data/input_images/surveys/survey_028_S-0028.jpg,2026-05-21,기획팀,,"만족도:3, 편의성:2, 속도:2",입력 절차가 간단함,0.9728,,True
R-0025,receipt,data/input_images/receipts/receipt_025_R-0025.jpg,2026-05-03,AI세미나센터,207350,,프로젝트 자료,0.906,,True
S-0069,survey,data/input_images/surveys/survey_069_S-0069.jpg,2026-05-26,교육팀,,"만족도:4, 편의성:4, 속도:2",메뉴 구성이 좋음,0.9462,,True
S-0063,survey,data/input_images/surveys/survey_063_S-0063.jpg,2026-04-10,운영팀,,"만족도:5, 편의성:4, 속도:4",차트 설명이 필요함,0.9502,,True
S-0101,survey,data/input_images/surveys/survey_101_S-0101.jpg,2026-05-28,재무팀,,"만족도:5, 편의성:2, 속도:5",이미지 업로드 편리,0.9525,,True
R-0104,receipt,data/input_images/receipts/receipt_104_R-0104.jpg,2026-04-16,스마트오피스,271700,,교육자료 준비,0.9107,,True
S-0091,survey,data/input_images/surveys/survey_091_S-0091.jpg,2026-06-11,마케팅팀,,"만족도:5, 편의성:2, 속도:4",보고서 자동화 유용,0.9395,,True
R-0116,receipt,data/input_images/receipts/receipt_116_R-0116.jpg,2026-03-02,디지털스캔샵,174350,,교육자료 준비,0.9347,,True
R-0088,receipt,data/input_images/receipts/receipt_088_R-0088.jpg,2026-05-28,테크문구,183150,,교육자료 준비,0.9416,,True
S-0041,survey,data/input_images/surveys/survey_041_S-0041.jpg,2026-03-22,기획팀,,"만족도:5, 편의성:3, 속도:1",메뉴 구성이 좋음,0.9397,,True
R-0071,receipt,data/input_images/receipts/receipt_071_R-0071.jpg,2026-06-24,테크문구,211200,,팀 회의 사용,0.8824,,True
R-0022,receipt,data/input_images/receipts/receipt_022_R-0022.jpg,2026-05-18,AI세미나센터,161150,,운영비 처리,0.9381,,True
S-0017,survey,data/input_images/surveys/survey_017_S-0017.jpg,2026-03-06,기획팀,,"만족도:3, 편의성:2, 속도:5",차트 설명이 필요함,0.8979,,True
R-0050,receipt,data/input_images/receipts/receipt_050_R-0050.jpg,2026-03-29,데이터랩서점,189750,,대시보드 검토,0.9337,,True
S-0004,survey,data/input_images/surveys/survey_004_S-0004.jpg,2026-06-07,영업팀,,"만족도:3, 편의성:5, 속도:4",데이터 보정 기능 좋음,0.9711,,True
S-0116,survey,data/input_images/surveys/survey_116_S-0116.jpg,2026-06-16,운영팀,,"만족도:2, 편의성:4, 속도:1",OCR 결과 확인 필요,0.9347,,True
R-0042,receipt,data/input_images/receipts/receipt_042_R-0042.jpg,2026-06-13,테크문구,168850,,교육자료 준비,0.9585,,True
S-0119,survey,data/input_images/surveys/survey_119_S-0119.jpg,2026-07-09,마케팅팀,,"만족도:2, 편의성:5, 속도:2",대시보드가 보기 쉬움,0.9415,,True
R-0091,receipt,data/input_images/receipts/receipt_091_R-0091.jpg,2026-05-17,서울프린트,121000,,교육자료 준비,0.9195,,True
R-0108,receipt,data/input_images/receipts/receipt_108_R-0108.jpg,2026-06-09,디지털스캔샵,253000,,실습 준비용,0.9459,,True
S-0094,survey,data/input_images/surveys/survey_094_S-0094.jpg,2026-07-02,운영팀,,"만족도:4, 편의성:5, 속도:4",대시보드가 보기 쉬움,0.9461,,True
S-0012,survey,data/input_images/surveys/survey_012_S-0012.jpg,2026-05-12,재무팀,,"만족도:2, 편의성:2, 속도:1",이미지 업로드 편리,0.9731,,True
R-0045,receipt,data/input_images/receipts/receipt_045_R-0045.jpg,2026-05-30,모두카페,229900,,교육자료 준비,0.8917,,True
S-0018,survey,data/input_images/surveys/survey_018_S-0018.jpg,2026-07-07,인사팀,,"만족도:4, 편의성:5, 속도:5",차트 설명이 필요함,0.9246,,True
S-0043,survey,data/input_images/surveys/survey_043_S-0043.jpg,2026-03-20,교육팀,,"만족도:2, 편의성:4, 속도:3",이미지 업로드 편리,0.896,,True
R-0089,receipt,data/input_images/receipts/receipt_089_R-0089.jpg,2026-03-02,그린오피스,228800,,실습 준비용,0.9252,,True
S-0054,survey,data/input_images/surveys/survey_054_S-0054.jpg,2026-04-30,마케팅팀,,"만족도:2, 편의성:3, 속도:2",데이터 보정 기능 좋음,0.9296,,True
S-0089,survey,data/input_images/surveys/survey_089_S-0089.jpg,2026-04-02,데이터팀,,"만족도:3, 편의성:4, 속도:2",보고서 자동화 유용,0.9052,,True
S-0107,survey,data/input_images/surveys/survey_107_S-0107.jpg,2026-07-06,데이터팀,,"만족도:3, 편의성:4, 속도:5",메뉴 구성이 좋음,0.8857,,True
S-0009,survey,data/input_images/surveys/survey_009_S-0009.jpg,2026-03-07,기획팀,,"만족도:5, 편의성:3, 속도:3",입력 절차가 간단함,0.9195,,True
S-0008,survey,data/input_images/surveys/survey_008_S-0008.jpg,2026-04-03,재무팀,,"만족도:3, 편의성:5, 속도:5",입력 절차가 간단함,0.9398,,True
S-0078,survey,data/input_images/surveys/survey_078_S-0078.jpg,2026-04-30,영업팀,,"만족도:4, 편의성:2, 속도:5",이미지 업로드 편리,0.9212,,True
R-0068,receipt,data/input_images/receipts/receipt_068_R-0068.jpg,2026-06-19,그린오피스,223300,,프로젝트 자료,0.9747,,True
R-0064,receipt,data/input_images/receipts/receipt_064_R-0064.jpg,2026-05-31,서울프린트,125950,,프로젝트 자료,0.9569,,True
R-0099,receipt,data/input_images/receipts/receipt_099_R-0099.jpg,2026-04-06,스마트오피스,77550,,운영비 처리,0.9414,,True
R-0094,receipt,data/input_images/receipts/receipt_094_R-0094.jpg,2026-06-12,디지털스캔샵,209000,,OCR 테스트용,0.9261,,True
S-0031,survey,data/input_images/surveys/survey_031_S-0031.jpg,2026-03-06,데이터팀,,"만족도:2, 편의성:4, 속도:2",모바일 화면 개선,0.9224,,True
S-0068,survey,data/input_images/surveys/survey_068_S-0068.jpg,2026-03-09,운영팀,,"만족도:5, 편의성:3, 속도:5",메뉴 구성이 좋음,0.9747,,True
S-0088,survey,data/input_images/surveys/survey_088_S-0088.jpg,2026-03-14,기획팀,,"만족도:4, 편의성:2, 속도:3",보고서 자동화 유용,0.9216,,True
S-0046,survey,data/input_images/surveys/survey_046_S-0046.jpg,2026-06-29,인사팀,,"만족도:4, 편의성:5, 속도:4",차트 설명이 필요함,0.9318,,True
S-0047,survey,data/input_images/surveys/survey_047_S-0047.jpg,2026-03-10,데이터팀,,"만족도:4, 편의성:2, 속도:1",모바일 화면 개선,0.9065,,True
S-0011,survey,data/input_images/surveys/survey_011_S-0011.jpg,2026-07-01,교육팀,,"만족도:2, 편의성:4, 속도:5",OCR 결과 확인 필요,0.9494,,True
S-0105,survey,data/input_images/surveys/survey_105_S-0105.jpg,2026-04-08,영업팀,,"만족도:4, 편의성:4, 속도:4",보고서 자동화 유용,0.9484,,True
S-0007,survey,data/input_images/surveys/survey_007_S-0007.jpg,2026-03-31,인사팀,,"만족도:2, 편의성:5, 속도:5",속도 개선 필요,0.8854,,True
R-0081,receipt,data/input_images/receipts/receipt_081_R-0081.jpg,2026-07-09,모두카페,347050,,운영비 처리,0.8842,,True
R-0109,receipt,data/input_images/receipts/receipt_109_R-0109.jpg,2026-03-16,스마트오피스,178200,,실습 준비용,0.9365,,True
R-0103,receipt,data/input_images/receipts/receipt_103_R-0103.jpg,2026-04-29,서울프린트,165000,,현장 실습비,0.9496,,True
R-0073,receipt,data/input_images/receipts/receipt_073_R-0073.jpg,2026-04-10,테크문구,61600,,프로젝트 자료,0.9717,,True
R-0060,receipt,data/input_images/receipts/receipt_060_R-0060.jpg,2026-06-30,테크문구,147950,,OCR 테스트용,0.9119,,True
S-0113,survey,data/input_images/surveys/survey_113_S-0113.jpg,2026-05-26,재무팀,,"만족도:4, 편의성:2, 속도:2",입력 절차가 간단함,0.9265,,True
